Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
shm3035,Royo poster - Under the Blue,"19"" x 24"" Limited edition<p> Under the Blue</p><p>Luis Royo is amongst our most popular talents.  </p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also check         out <a href=""/shm/advanced_search_result.php?keywords=Royo&amp;x=0&amp;y=0"">THE Complete ROYO lineup here</a></p></em></font></strong></p>",Heavy Metal,Poster,"Luis Royo, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/royoundertheblue.jpg?v=1505679957,1,Royo poster - Under the Blue,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/royoundertheblue.jpg?v=1505679957,lb,,
shm3034,Royo poster - Bisectrix,"<p>19"" x 24"" Limited edition.</p>",Heavy Metal,Poster,"Luis Royo, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/roypbisectrix.jpg?v=1505679955,1,Royo poster - Bisectrix,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/roypbisectrix.jpg?v=1505679955,lb,,
shm3033,Royo poster - Chick on Bike,"<p>19"" x 24"" Limited edition.</p>",Heavy Metal,Poster,"Luis Royo, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/luisroyo14.gif?v=1505679956,1,Royo poster - Chick on Bike,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/luisroyo14.gif?v=1505679956,lb,,
shm3031,Royo poster - Volcano and Girl,"<p>19"" x 24"" Limited edition</p>",Heavy Metal,Poster,"Luis Royo, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/luisroyo3.gif?v=1505679979,1,Royo poster - Volcano and Girl,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/luisroyo3.gif?v=1505679979,lb,,
shm3024,Alfonso Azpiri poster,"19"" x 24"" Limited edition of 500<p>Alfonso Azpiri Mejia, born in Madrid, is a specialist in the fantastic erotic comic genre. He began his career in the early 1970s in the magazine Trinca, including the stories 'Do Fugitivos en Malasia'. He was also presented in Cimoc with 'Zephyd' and 'Lorna y su Robot', in 1984 with 'Pesadillas' and in Comix Internacional with 'El Comic Vivo'.He created several books about horror, sex and nudity, which were aimed at the Italian market, including 'Terror Blu', 'Il Vampiro', and 'I Notturni'. His best known characters is 'Lorna', a Barbarella-like heroin, and the martial arts detective Chang, whose adventures first appeared in several French magazines. </p><p>Heavy Metal publishes the complete Lorna lineup in English.</p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Check         out the <a href=""/shm/advanced_search_result.php?keywords=Azpiri&amp;x=0&amp;y=0"">COMPLETE AZPIRI LINE</a></p></em></font></strong></p>",Heavy Metal,Poster,"Alfonso Azpiri, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/axpirilornaposter.jpg?v=1505679711,1,Alfonso Azpiri poster,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/axpirilornaposter.jpg?v=1505679711,lb,,
shm3023,Milo Manara poster,"19"" x 24"" Limited edition of 500<p>Also check         out <a href=""/shm/advanced_search_result.php?keywords=Manara&amp;x=0&amp;y=0"">A COMPLETE LINE UP OF MANARA TITLES</a></p>",Heavy Metal,Poster,"Milo Manara, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/milomanara22.gif?v=1505679915,1,Milo Manara poster,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/milomanara22.gif?v=1505679915,lb,,
shm3022,Horatio Altuna poster,"<p>19"" x 24"" Limited edition of 500</p>",Heavy Metal,Poster,"Horatio Altuna, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/horatioaltuna21.jpg?v=1505679836,1,Horatio Altuna poster,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/horatioaltuna21.jpg?v=1505679836,lb,,
shm3017,Serpieri poster - Druuna,"19""x24""  Limited edition.<p></p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also check         out <a href=""/shm/advanced_search_result.php?keywords=Serpieri&amp;x=0&amp;y=0%20"">A COMPLETE LINE UP OF SERPIERI TITLES</a></p></em></font></strong></p>",Heavy Metal,Poster,"onsale, Pelaez, Posters, Serpieri, Serpieri Druuna Library",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/serpieri10a.gif?v=1505679989,1,Serpieri poster - Druuna,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/serpieri10a.gif?v=1505679989,lb,,
shm3016,Serpieri poster - Profile,"19"" x 24""  Limited edition.<p></p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also check         out <a href=""/shm/advanced_search_result.php?keywords=Serpieri&amp;x=0&amp;y=0%20"">A COMPLETE LINE UP OF SERPIERI TITLES</a></p></em></font></strong></p>",Heavy Metal,Poster,"onsale, Pelaez, Posters, Serpieri, Serpieri Druuna Library",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/serpieri17.gif?v=1505679999,1,Serpieri poster - Profile,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/serpieri17.gif?v=1505679999,lb,,
shm3014,Pelaez poster,"<p>19"" x 24"" Limited edition.</p>",Heavy Metal,Poster,"onsale, Pelaez, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/pelaez9.gif?v=1505679917,1,Pelaez poster,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/pelaez9.gif?v=1505679917,lb,,
shm3013,Ovi Hondru poster,"19""x24"" Limited edition.<p>Cover of the January 1990 issue</p>",Heavy Metal,Poster,"onsale, Ovi Hondru, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/ovihondru1.gif?v=1505679916,1,Ovi Hondru poster,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/ovihondru1.gif?v=1505679916,lb,,
